LOCALE,KEY,ENGLISH,VALUE,CONTEXT,FIXUTURE,VALUE-UNDERSCORE,VALUE-TRANSLATABLE
en,activity.empty.comments,No Comments,No Comments,,"'activity.empty.comments':'No Comments',",No Comments,No Comments
en,admin.address_type.store,Store,Store,,"'admin.address_type.store':'Store',",Store,Store
en,activity.empty.status_updates,No Status Updates,No Status Updates,,"'activity.empty.status_updates':'No Status Updates',",No Status Updates,No Status Updates
en,activity.one,Activity,Activity,,"'activity.one':'Activity',",Activity,Activity
en,activity.tabs.all_updates,All Updates,All Updates,,"'activity.tabs.all_updates':'All Updates',",All Updates,All Updates
en,activity.tabs.comments,Comments,Comments,,"'activity.tabs.comments':'Comments',",Comments,Comments
en,activity.tabs.status_updates,Status Updates,Status Updates,,"'activity.tabs.status_updates':'Status Updates',",Status Updates,Status Updates
en,activity.ticket.assignee,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},,"'activity.ticket.assignee':'changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}}',",changed the {{type_var_ from %s{{from_var_ %sto %s{{to_var_ %s{{timestamp_var_,changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_
en,activity.ticket.attachment_add.one,uploaded %s{{count}} file %s{{timestamp}} %s{{added}},uploaded %s{{count}} file %s{{timestamp}} %s{{added}},,"'activity.ticket.attachment_add.one':'uploaded %s{{count}} file %s{{timestamp}} %s{{added}}',",uploaded %s{{count_var_ file %s{{timestamp_var_ %s{{added_var_,uploaded %s_count_var_ file %s_timestamp_var_ %s_added_var_
en,activity.ticket.attachment_add.other,uploaded %s{{count}} files %s{{timestamp}} %s{{added}},uploaded %s{{count}} files %s{{timestamp}} %s{{added}},,"'activity.ticket.attachment_add.other':'uploaded %s{{count}} files %s{{timestamp}} %s{{added}}',",uploaded %s{{count_var_ files %s{{timestamp_var_ %s{{added_var_,uploaded %s_count_var_ files %s_timestamp_var_ %s_added_var_
en,activity.ticket.attachment_remove.one,removed %s{{count}} file %s{{timestamp}} %s{{removed}},removed %s{{count}} file %s{{timestamp}} %s{{removed}},,"'activity.ticket.attachment_remove.one':'removed %s{{count}} file %s{{timestamp}} %s{{removed}}',",removed %s{{count_var_ file %s{{timestamp_var_ %s{{removed_var_,removed %s_count_var_ file %s_timestamp_var_ %s_removed_var_
en,activity.ticket.attachment_remove.other,removed %s{{count}} files %s{{timestamp}} %s{{removed}},removed %s{{count}} files %s{{timestamp}} %s{{removed}},,"'activity.ticket.attachment_remove.other':'removed %s{{count}} files %s{{timestamp}} %s{{removed}}',",removed %s{{count_var_ files %s{{timestamp_var_ %s{{removed_var_,removed %s_count_var_ files %s_timestamp_var_ %s_removed_var_
en,activity.ticket.categories,changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}},,"'activity.ticket.categories':'changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}}',",changed the category from %s{{from_var_ %sto %s{{to_var_ %s{{timestamp_var_,changed the category from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_
en,activity.ticket.cc_add,added %s{{added}} %sto CC %s{{timestamp}},added %s{{added}} %sto CC %s{{timestamp}},,"'activity.ticket.cc_add':'added %s{{added}} %sto CC %s{{timestamp}}',",added %s{{added_var_ %sto CC %s{{timestamp_var_,added %s_added_var_ %sto CC %s_timestamp_var_
en,activity.ticket.msg_sent,sent to %svia %s{{timestamp}},sent to %svia %s{{timestamp}},,"'activity.ticket.msg_sent':'sent to %svia %s{{timestamp}}',",sent to %svia %s{{timestamp_var_,sent to %svia %s_timestamp_var_
en,activity.ticket.cc_remove,removed %s{{removed}} %sfrom CC %s{{timestamp}},removed %s{{removed}} %sfrom CC %s{{timestamp}},,"'activity.ticket.cc_remove':'removed %s{{removed}} %sfrom CC %s{{timestamp}}',",removed %s{{removed_var_ %sfrom CC %s{{timestamp_var_,removed %s_removed_var_ %sfrom CC %s_timestamp_var_
en,activity.ticket.comment,commented %s{{timestamp}} %s{{comment}},commented %s{{timestamp}} %s{{comment}},,"'activity.ticket.comment':'commented %s{{timestamp}} %s{{comment}}',",commented %s{{timestamp_var_ %s{{comment_var_,commented %s_timestamp_var_ %s_comment_var_
en,activity.ticket.create,created this ticket %s{{timestamp}},created this ticket %s{{timestamp}},,"'activity.ticket.create':'created this ticket %s{{timestamp}}',",created this ticket %s{{timestamp_var_,created this ticket %s_timestamp_var_
en,activity.ticket.to_from,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},,"'activity.ticket.to_from':'changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}}',",changed the {{type_var_ from %s{{from_var_ %sto %s{{to_var_ %s{{timestamp_var_,changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_
en,admin.address_type.location,Location,Location,,"'admin.address_type.location':'Location',",Location,Location
en,admin.address_type.office,Office,Office,,"'admin.address_type.office':'Office',",Office,Office
en,admin.address_type.shipping,Shipping,Shipping,,"'admin.address_type.shipping':'Shipping',",Shipping,Shipping
en,admin.address.add,Add Address,Add Address,,"'admin.address.add':'Add Address',",Add Address,Add Address
en,admin.address.address,Street Address,Street Address,,"'admin.address.address':'Street Address',",Street Address,Street Address
en,admin.address.city,City,City,,"'admin.address.city':'City',",City,City
en,admin.address.country.one,Country,Country,,"'admin.address.country.one':'Country',",Country,Country
en,admin.address.country.other,Countries,Countries,,"'admin.address.country.other':'Countries',",Countries,Countries
en,admin.address.country.select,Select a Country,Select a Country,,"'admin.address.country.select':'Select a Country',",Select a Country,Select a Country
en,admin.address.label,Type,Type,,"'admin.address.label':'Type',",Type,Type
en,admin.address.postal_code,Zip,Zip,,"'admin.address.postal_code':'Zip',",Zip,Zip
en,admin.address.state.one,State,State,,"'admin.address.state.one':'State',",State,State
en,admin.address.state.other,States,States,,"'admin.address.state.other':'States',",States,States
en,admin.address.state.select,Select a State,Select a State,,"'admin.address.state.select':'Select a State',",Select a State,Select a State
en,admin.addresstype.office,Office,Office,,"'admin.addresstype.office':'Office',",Office,Office
en,admin.addresstype.shipping,Shipping,Shipping,,"'admin.addresstype.shipping':'Shipping',",Shipping,Shipping
en,admin.amount,Amount,Amount,,"'admin.amount':'Amount',",Amount,Amount
en,admin.amount_and_default_value,Amount: {{value}},Amount: {{value}},,"'admin.amount_and_default_value':'Amount: {{value}}',",Amount: {{value_var_,Amount: _value_var_
en,admin.approval.one,Approval,Approval,,"'admin.approval.one':'Approval',",Approval,Approval
en,admin.approval.other,Approvals,Approvals,,"'admin.approval.other':'Approvals',",Approvals,Approvals
en,admin.automation,Automations,Automations,,"'admin.automation':'Automations',",Automations,Automations
en,admin.automation.action.add,Action,Action,,"'admin.automation.action.add':'Action',",Action,Action
en,admin.automation.actions,Actions,Actions,,"'admin.automation.actions':'Actions',",Actions,Actions
en,admin.automation.assignee,Assignee,Assignee,,"'admin.automation.assignee':'Assignee',",Assignee,
en,admin.automation.categories,Categories,Categories,,"'admin.automation.categories':'Categories',",Categories,
en,admin.automation.countries,Countries,Countries,,"'admin.automation.countries':'Countries',",Countries,
en,admin.automation.criteria,Criteria,Criteria,,"'admin.automation.criteria':'Criteria',",Criteria,
en,admin.automation.description,Description,Description,,"'admin.automation.description':'Description',",Description,
en,admin.automation.detail,Automation,Automation,,"'admin.automation.detail':'Automation',",Automation,
en,admin.automation.events,Events,Events,,"'admin.automation.events':'Events',",Events,
en,admin.automation.filters,Filters,Filters,,"'admin.automation.filters':'Filters',",Filters,
en,admin.automation.filtersApplied.one,There is {{count}} filter applied,There is {{count}} filter applied,,"'admin.automation.filtersApplied.one':'There is {{count}} filter applied',",There is {{count_var_ filter applied,There is _count_var_ filter applied
en,admin.automation.filtersApplied.other,There are {{count}} filters applied,There are {{count}} filters applied,,"'admin.automation.filtersApplied.other':'There are {{count}} filters applied',",There are {{count_var_ filters applied,There are _count_var_ filters applied
en,admin.automation.locations,Locations,Locations,,"'admin.automation.locations':'Locations',",Locations,
en,admin.automation.new,New Automation,New Automation,,"'admin.automation.new':'New Automation',",New Automation,New Automation
en,admin.automation.one,Automation,Automation,,"'admin.automation.one':'Automation',",Automation,Automation
en,admin.automation.other,Automations,Automations,,"'admin.automation.other':'Automations',",Automations,Automations
en,admin.automation.pf.add,Filter,Filter,,"'admin.automation.pf.add':'Filter',",Filter,
en,admin.automation.placeholder.available_filter,Please select a filter,Please select a filter,,"'admin.automation.placeholder.available_filter':'Please select a filter',",Please select a filter,
en,admin.automation.priorities,Priorities,Priorities,,"'admin.automation.priorities':'Priorities',",Priorities,
en,admin.automation.search,Search Automations,Search Automations,,"'admin.automation.search':'Search Automations',",Search Automations,Search Automations
en,admin.automation.section.details,Details,Details,,"'admin.automation.section.details':'Details',",Details,Details
en,admin.automation.section.filters,Filters,Filters,,"'admin.automation.section.filters':'Filters',",Filters,Filters
en,admin.automation.selected_in,selected in:,selected in:,,"'admin.automation.selected_in':'selected in:',",selected in:,selected in:
en,admin.automation.states,States,States,,"'admin.automation.states':'States',",States,States
en,admin.category.label.children,Sub Categories,Sub Categories,,"'admin.category.label.children':'Sub Categories',",Sub Categories,Sub Categories
en,admin.category.label.cost_amount,Cost Amount,Cost Amount,,"'admin.category.label.cost_amount':'Cost Amount',",Cost Amount,Cost Amount
en,admin.category.label.cost_code,Cost Code,Cost Code,,"'admin.category.label.cost_code':'Cost Code',",Cost Code,Cost Code
en,admin.category.label.cost_currency,Cost Currency,Cost Currency,,"'admin.category.label.cost_currency':'Cost Currency',",Cost Currency,Cost Currency
en,admin.category.label.description,Description,Description,,"'admin.category.label.description':'Description',",Description,Description
en,admin.category.label.general,General,General,,"'admin.category.label.general':'General',",General,General
en,admin.category.label.label,Label,Label,,"'admin.category.label.label':'Label',",Label,Label
en,admin.category.label.name,Name,Name,,"'admin.category.label.name':'Name',",Name,Name
en,admin.category.label.subcategory_label,Sub Category Label,Sub Category Label,,"'admin.category.label.subcategory_label':'Sub Category Label',",Sub Category Label,Sub Category Label
en,admin.category.labelCat.issue,Issue,Issue,,"'admin.category.labelCat.issue':'Issue',",Issue,Issue
en,admin.category.labelCat.trade,Trade,Trade,,"'admin.category.labelCat.trade':'Trade',",Trade,Trade
en,admin.category.labelCat.type,Type,Type,,"'admin.category.labelCat.type':'Type',",Type,Type
en,admin.category.name.loss_prevention,Loss Prevention,Loss Prevention,,"'admin.category.name.loss_prevention':'Loss Prevention',",Loss Prevention,Loss Prevention
en,admin.category.name.maintenance,Maintenance,Maintenance,,"'admin.category.name.maintenance':'Maintenance',",Maintenance,Maintenance
en,admin.category.name.repair,Repair,Repair,,"'admin.category.name.repair':'Repair',",Repair,Repair
en,admin.category.new,New Category,New Category,,"'admin.category.new':'New Category',",New Category,New Category
en,admin.category.one,Category,Category,,"'admin.category.one':'Category',",Category,Category
en,admin.category.other,Categories,Categories,,"'admin.category.other':'Categories',",Categories,Categories
en,admin.category.search,Search Categories,Search Categories,,"'admin.category.search':'Search Categories',",Search Categories,Search Categories
en,admin.category.section.cost,Cost Information,Cost Information,,"'admin.category.section.cost':'Cost Information',",Cost Information,Cost Information
