LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
es,activity.empty.comments,No Comments,No Comments,No Comments,Sin comentarios,Sin comentarios,Sin comentarios,Sin comentarios,"'activity.empty.comments':'Sin comentarios',",
es,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,No hay actualizaciones de estado,No hay actualizaciones de estado,No hay actualizaciones de estado,No hay actualizaciones de estado,"'activity.empty.status_updates':'No hay actualizaciones de estado',",
es,activity.one,Activity,Activity,Activity,Actividad,Actividad,Actividad,Actividad,"'activity.one':'Actividad',",
es,activity.tabs.all_updates,All Updates,All Updates,All Updates,Todas las Actualizaciones,Todas las Actualizaciones,Todas las Actualizaciones,Todas las Actualizaciones,"'activity.tabs.all_updates':'Todas las Actualizaciones',",
es,activity.tabs.comments,Comments,Comments,Comments,comentarios,comentarios,comentarios,comentarios,"'activity.tabs.comments':'comentarios',",
es,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,Actualizaciones de estado,Actualizaciones de estado,Actualizaciones de estado,Actualizaciones de estado,"'activity.tabs.status_updates':'Actualizaciones de estado',",
es,activity.ticket.assignee,changed the {{type}} from ${{from}} $to ${{to}} ${{timestamp}},changed the _type}} from $_from}} $to $_to}} $_timestamp}},changed the _type_var_ from $_from_var_ $to $_to_var_ $_timestamp_var_,cambiado el _type_var_ de $ _from_var_ $ a $ $ _to_var_ _timestamp_var_,cambiado el _type}} de $ _from}} $ a $ $ _to}} _timestamp}},cambiado el {{type}} de $ {{from}} $ a $ $ {{to}} {{timestamp}},cambiado el {{type}} de ${{from}} $a $${{to}} {{timestamp}},"'activity.ticket.assignee':'cambiado el {{type}} de ${{from}} $a $${{to}} {{timestamp}}',",
es,activity.ticket.attachment_add.one,uploaded ${{count}} file ${{timestamp}} ${{added}},uploaded $_count}} file $_timestamp}} $_added}},uploaded $_count_var_ file $_timestamp_var_ $_added_var_,subido $ _count_var_ archivo $ $ _timestamp_var_ _added_var_,subido $ _count}} archivo $ $ _timestamp}} _added}},subido $ {{count}} archivo $ $ {{timestamp}} {{added}},subido ${{count}} archivo $${{timestamp}} {{added}},"'activity.ticket.attachment_add.one':'subido ${{count}} archivo $${{timestamp}} {{added}}',",
es,activity.ticket.attachment_add.other,uploaded ${{count}} files ${{timestamp}} ${{added}},uploaded $_count}} files $_timestamp}} $_added}},uploaded $_count_var_ files $_timestamp_var_ $_added_var_,subido $ _count_var_ archivos $ _timestamp_var_ $ _added_var_,subido $ _count}} archivos $ _timestamp}} $ _added}},subido $ {{count}} archivos $ {{timestamp}} $ {{added}},subido ${{count}} archivos ${{timestamp}} ${{added}},"'activity.ticket.attachment_add.other':'subido ${{count}} archivos ${{timestamp}} ${{added}}',",
es,activity.ticket.attachment_remove.one,removed ${{count}} file ${{timestamp}} ${{removed}},removed $_count}} file $_timestamp}} $_removed}},removed $_count_var_ file $_timestamp_var_ $_removed_var_,eliminado el archivo $ $ _count_var_ _timestamp_var_ $ _removed_var_,eliminado el archivo $ $ _count}} _timestamp}} $ _removed}},eliminado el archivo $ $ {{count}} {{timestamp}} $ {{removed}},eliminado el archivo $${{count}} {{timestamp}} ${{removed}},"'activity.ticket.attachment_remove.one':'eliminado el archivo $${{count}} {{timestamp}} ${{removed}}',",
es,activity.ticket.attachment_remove.other,removed ${{count}} files ${{timestamp}} ${{removed}},removed $_count}} files $_timestamp}} $_removed}},removed $_count_var_ files $_timestamp_var_ $_removed_var_,removidos $ _count_var_ archivos $ _timestamp_var_ $ _removed_var_,removidos $ _count}} archivos $ _timestamp}} $ _removed}},removidos $ {{count}} archivos $ {{timestamp}} $ {{removed}},removidos ${{count}} archivos ${{timestamp}} ${{removed}},"'activity.ticket.attachment_remove.other':'removidos ${{count}} archivos ${{timestamp}} ${{removed}}',",
