LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
ja,activity.empty.comments,No Comments,No Comments,No Comments,コメントはありません,コメントはありません,コメントはありません,コメントはありません,"'activity.empty.comments':'コメントはありません',",
ja,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,いいえステータスの更新ません,いいえステータスの更新ません,いいえステータスの更新ません,いいえステータスの更新ません,"'activity.empty.status_updates':'いいえステータスの更新ません',",
ja,activity.tabs.all_updates,All Updates,All Updates,All Updates,すべてのアップデート,すべてのアップデート,すべてのアップデート,すべてのアップデート,"'activity.tabs.all_updates':'すべてのアップデート',",
ja,activity.tabs.comments,Comments,Comments,Comments,コメント,コメント,コメント,コメント,"'activity.tabs.comments':'コメント',",
ja,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,ステータスの更新,ステータスの更新,ステータスの更新,ステータスの更新,"'activity.tabs.status_updates':'ステータスの更新',",
ja,activity.ticket.assignee,changed the {{type}} from ${{from}} $to ${{to}} ${{timestamp}},changed the _type}} from $_from}} $to $_to}} $_timestamp}},changed the _type_var_ from $_from_var_ $to $_to_var_ $_timestamp_var_,$ _to_var_ $ _timestamp_var_に$ _from_var_ $から_type_var_を変更,$ _to}} $ _timestamp}}に$ _from}} $から_type}}を変更,$ {{to}} $ {{timestamp}}に$ {{from}} $から{{type}}を変更,${{to}} ${{timestamp}}に${{from}} $から{{type}}を変更,"'activity.ticket.assignee':'${{to}} ${{timestamp}}に${{from}} $から{{type}}を変更',",
ja,activity.ticket.attachment_add.one,uploaded ${{count}} file ${{timestamp}} ${{added}},uploaded $_count}} file $_timestamp}} $_added}},uploaded $_count_var_ file $_timestamp_var_ $_added_var_,アップロード$ _count_var_ファイル$ _timestamp_var_ $ _added_var_,アップロード$ _count}}ファイル$ _timestamp}} $ _added}},アップロード$ {{count}}ファイル$ {{timestamp}} $ {{added}},アップロード${{count}}ファイル${{timestamp}} ${{added}},"'activity.ticket.attachment_add.one':'アップロード${{count}}ファイル${{timestamp}} ${{added}}',",
ja,activity.ticket.attachment_add.other,uploaded ${{count}} files ${{timestamp}} ${{added}},uploaded $_count}} files $_timestamp}} $_added}},uploaded $_count_var_ files $_timestamp_var_ $_added_var_,$ _timestamp_var_ $ _added_var_ $ _count_var_ファイルをアップロード,$ _timestamp}} $ _added}} $ _count}}ファイルをアップロード,$ {{timestamp}} $ {{added}} $ {{count}}ファイルをアップロード,${{timestamp}} ${{added}} ${{count}}ファイルをアップロード,"'activity.ticket.attachment_add.other':'${{timestamp}} ${{added}} ${{count}}ファイルをアップロード',",
ja,activity.ticket.attachment_remove.one,removed ${{count}} file ${{timestamp}} ${{removed}},removed $_count}} file $_timestamp}} $_removed}},removed $_count_var_ file $_timestamp_var_ $_removed_var_,削除$ _count_var_ファイル$ _timestamp_var_ $ _removed_var_,削除$ _count}}ファイル$ _timestamp}} $ _removed}},削除$ {{count}}ファイル$ {{timestamp}} $ {{removed}},削除${{count}}ファイル${{timestamp}} ${{removed}},"'activity.ticket.attachment_remove.one':'削除${{count}}ファイル${{timestamp}} ${{removed}}',",
ja,activity.ticket.attachment_remove.other,removed ${{count}} files ${{timestamp}} ${{removed}},removed $_count}} files $_timestamp}} $_removed}},removed $_count_var_ files $_timestamp_var_ $_removed_var_,$ _timestamp_var_ $ _removed_var_ $ _count_var_ファイルを削除,$ _timestamp}} $ _removed}} $ _count}}ファイルを削除,$ {{timestamp}} $ {{removed}} $ {{count}}ファイルを削除,${{timestamp}} ${{removed}} ${{count}}ファイルを削除,"'activity.ticket.attachment_remove.other':'${{timestamp}} ${{removed}} ${{count}}ファイルを削除',",
