LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
zh-cn,accounting,Accounting,Accounting,Accounting,会计,会计,会计,会计,"'accounting':'会计',",
zh-cn,activity.empty.comments,No Comments,No Comments,No Comments,没意见,没意见,没意见,没意见,"'activity.empty.comments':'没意见',",
zh-cn,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,无状态更新,无状态更新,无状态更新,无状态更新,"'activity.empty.status_updates':'无状态更新',",
zh-cn,activity.one,Activity,Activity,Activity,活动,活动,活动,活动,"'activity.one':'活动',",
zh-cn,activity.tabs.all_updates,All Updates,All Updates,All Updates,所有更新,所有更新,所有更新,所有更新,"'activity.tabs.all_updates':'所有更新',",
zh-cn,activity.tabs.comments,Comments,Comments,Comments,注释,注释,注释,注释,"'activity.tabs.comments':'注释',",
zh-cn,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,状态更新,状态更新,状态更新,状态更新,"'activity.tabs.status_updates':'状态更新',",
zh-cn,admin.category.label.verbose_name,Verbose Name,Verbose Name,Verbose Name,详细名称,详细名称,详细名称,详细名称,"'admin.category.label.verbose_name':'详细名称',",
zh-cn,activity.ticket.assignee,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the _type}} from %s_from}} %sto %s_to}} %s_timestamp}},changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,从％s_from_var_％STO％s_to_var_％s_timestamp_var_改变了_type_var_,从％s_from}}％STO％s_to}}％s_timestamp}}改变了_type}},从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}},从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}},"'activity.ticket.assignee':'从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}}',",
zh-cn,activity.ticket.attachment_add.one,uploaded %s{{count}} file %s{{timestamp}} %s{{added}},uploaded %s_count}} file %s_timestamp}} %s_added}},uploaded %s_count_var_ file %s_timestamp_var_ %s_added_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.attachment_add.other,uploaded %s{{count}} files %s{{timestamp}} %s{{added}},uploaded %s_count}} files %s_timestamp}} %s_added}},uploaded %s_count_var_ files %s_timestamp_var_ %s_added_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.attachment_remove.one,removed %s{{count}} file %s{{timestamp}} %s{{removed}},removed %s_count}} file %s_timestamp}} %s_removed}},removed %s_count_var_ file %s_timestamp_var_ %s_removed_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.attachment_remove.other,removed %s{{count}} files %s{{timestamp}} %s{{removed}},removed %s_count}} files %s_timestamp}} %s_removed}},removed %s_count_var_ files %s_timestamp_var_ %s_removed_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.categories,changed the category from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the category from %s_from}} %sto %s_to}} %s_timestamp}},changed the category from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.cc_add,added %s{{added}} %sto CC %s{{timestamp}},added %s_added}} %sto CC %s_timestamp}},added %s_added_var_ %sto CC %s_timestamp_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.cc_remove,removed %s{{removed}} %sfrom CC %s{{timestamp}},removed %s_removed}} %sfrom CC %s_timestamp}},removed %s_removed_var_ %sfrom CC %s_timestamp_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.comment,commented %s{{timestamp}} %s{{comment}},commented %s_timestamp}} %s_comment}},commented %s_timestamp_var_ %s_comment_var_,评论％s_timestamp_var_％s_comment_var_,评论％s_timestamp}}％s_comment}},评论％s{{timestamp}}％s{{comment}},评论％s{{timestamp}}％s{{comment}},"'activity.ticket.comment':'评论％s{{timestamp}}％s{{comment}}',",
zh-cn,activity.ticket.create,created this ticket %s{{timestamp}},created this ticket %s_timestamp}},created this ticket %s_timestamp_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.msg_sent,sent to %svia %s{{timestamp}},sent to %svia %s_timestamp}},sent to %svia %s_timestamp_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,activity.ticket.to_from,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the _type}} from %s_from}} %sto %s_to}} %s_timestamp}},changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,从％s_from_var_％STO％s_to_var_％s_timestamp_var_改变了_type_var_,从％s_from}}％STO％s_to}}％s_timestamp}}改变了_type}},从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}},从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}},"'activity.ticket.to_from':'从％s{{from}}％STO％s{{to}}％s{{timestamp}}改变了{{type}}',",
zh-cn,admin.address_type.location,Location,Location,Location,位置,位置,位置,位置,"'admin.address_type.location':'位置',",
zh-cn,admin.address_type.office,Office,Office,Office,办公室,办公室,办公室,办公室,"'admin.address_type.office':'办公室',",
zh-cn,admin.address_type.shipping,Shipping,Shipping,Shipping,运输,运输,运输,运输,"'admin.address_type.shipping':'运输',",
zh-cn,admin.address_type.store,Store,Store,Store,商店,商店,商店,商店,"'admin.address_type.store':'商店',",
zh-cn,admin.address.add,Add Address,Add Address,Add Address,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.address.address,Street Address,Street Address,Street Address,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.address.city,City,City,City,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.address.country.one,Country,Country,Country,国家,国家,国家,国家,"'admin.address.country.one':'国家',",
zh-cn,admin.address.country.other,Countries,Countries,Countries,国家,国家,国家,国家,"'admin.address.country.other':'国家',",
zh-cn,admin.address.country.select,Select a Country,Select a Country,Select a Country,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.address.label,Type,Type,Type,类型,类型,类型,类型,"'admin.address.label':'类型',",
zh-cn,admin.address.postal_code,Zip,Zip,Zip,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.address.state.one,State,State,State,州,州,州,州,"'admin.address.state.one':'州',",
zh-cn,admin.address.state.other,States,States,States,状态,状态,状态,状态,"'admin.address.state.other':'状态',",
zh-cn,admin.address.state.select,Select a State,Select a State,Select a State,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.addresstype.office,Office,Office,Office,办公室,办公室,办公室,办公室,"'admin.addresstype.office':'办公室',",
zh-cn,admin.addresstype.shipping,Shipping,Shipping,Shipping,运输,运输,运输,运输,"'admin.addresstype.shipping':'运输',",
zh-cn,admin.amount,Amount,Amount,Amount,量,量,量,量,"'admin.amount':'量',",
zh-cn,admin.amount_and_default_value,Amount: {{value}},Amount: _value}},Amount: _value_var_,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.approval.one,Approval,Approval,Approval,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.approval.other,Approvals,Approvals,Approvals,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation,Automations,Automations,Automations,自动化,自动化,自动化,自动化,"'admin.automation':'自动化',",
zh-cn,admin.automation.action.add,Action,Action,Action,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.actions,Actions,Actions,Actions,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.assignee,Assignee,Assignee,Assignee,代理人,代理人,代理人,代理人,"'admin.automation.assignee':'代理人',",
zh-cn,admin.automation.categories,Categories,Categories,Categories,分类,分类,分类,分类,"'admin.automation.categories':'分类',",
zh-cn,admin.automation.countries,Countries,Countries,Countries,国家,国家,国家,国家,"'admin.automation.countries':'国家',",
zh-cn,admin.automation.criteria,Criteria,Criteria,Criteria,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.description,Description,Description,Description,描述,描述,描述,描述,"'admin.automation.description':'描述',",
zh-cn,admin.automation.detail,Automation,Automation,Automation,自动化,自动化,自动化,自动化,"'admin.automation.detail':'自动化',",
zh-cn,admin.automation.events,Events,Events,Events,活动,活动,活动,活动,"'admin.automation.events':'活动',",
zh-cn,admin.automation.filters,Filters,Filters,Filters,过滤器,过滤器,过滤器,过滤器,"'admin.automation.filters':'过滤器',",
zh-cn,admin.automation.filtersApplied.one,There is {{count}} filter applied,There is _count}} filter applied,There is _count_var_ filter applied,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.filtersApplied.other,There are {{count}} filters applied,There are _count}} filters applied,There are _count_var_ filters applied,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.locations,Locations,Locations,Locations,位置,位置,位置,位置,"'admin.automation.locations':'位置',",
zh-cn,admin.automation.new,New Automation,New Automation,New Automation,自动化新,自动化新,自动化新,自动化新,"'admin.automation.new':'自动化新',",
zh-cn,admin.automation.one,Automation,Automation,Automation,自动化,自动化,自动化,自动化,"'admin.automation.one':'自动化',",
zh-cn,admin.automation.other,Automations,Automations,Automations,自动化,自动化,自动化,自动化,"'admin.automation.other':'自动化',",
zh-cn,admin.automation.pf.add,Filter,Filter,Filter,过滤,过滤,过滤,过滤,"'admin.automation.pf.add':'过滤',",
zh-cn,admin.automation.placeholder.available_filter,Please select a filter,Please select a filter,Please select a filter,请选择一个过滤器,请选择一个过滤器,请选择一个过滤器,请选择一个过滤器,"'admin.automation.placeholder.available_filter':'请选择一个过滤器',",
zh-cn,admin.automation.priorities,Priorities,Priorities,Priorities,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.search,Search Automations,Search Automations,Search Automations,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.section.details,Details,Details,Details,细节,细节,细节,细节,"'admin.automation.section.details':'细节',",
zh-cn,admin.automation.section.filters,Filters,Filters,Filters,过滤器,过滤器,过滤器,过滤器,"'admin.automation.section.filters':'过滤器',",
zh-cn,admin.automation.selected_in,selected in:,selected in:,selected in:,Loading...,Loading...,Loading...,Loading...,Loading...,
zh-cn,admin.automation.states,States,States,States,状态,状态,状态,状态,"'admin.automation.states':'状态',",
zh-cn,admin.category.label.children,Sub Categories,Sub Categories,Sub Categories,子分类,子分类,子分类,子分类,"'admin.category.label.children':'子分类',",
