LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
zh,activity.empty.comments,No Comments,No Comments,No Comments,没意见,没意见,没意见,没意见,"'activity.empty.comments':'没意见',",
zh,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,无状态更新,无状态更新,无状态更新,无状态更新,"'activity.empty.status_updates':'无状态更新',",
zh,activity.tabs.all_updates,All Updates,All Updates,All Updates,所有更新,所有更新,所有更新,所有更新,"'activity.tabs.all_updates':'所有更新',",
zh,activity.tabs.comments,Comments,Comments,Comments,评论,评论,评论,评论,"'activity.tabs.comments':'评论',",
zh,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,状态更新,状态更新,状态更新,状态更新,"'activity.tabs.status_updates':'状态更新',",
zh,activity.ticket.assignee,changed the {{type}} from ${{from}} $to ${{to}} ${{timestamp}},changed the _type}} from $_from}} $to $_to}} $_timestamp}},changed the _type_var_ from $_from_var_ $to $_to_var_ $_timestamp_var_,改变了_type_var_从$ _from_var_ $至$ _to_var_ $ _timestamp_var_,改变了_type}}从$ _from}} $至$ _to}} $ _timestamp}},改变了{{type}}从$ {{from}} $至$ {{to}} $ {{timestamp}},改变了{{type}}从${{from}} $至${{to}} ${{timestamp}},"'activity.ticket.assignee':'改变了{{type}}从${{from}} $至${{to}} ${{timestamp}}',",
zh,activity.ticket.attachment_add,uploaded ${{count}} files ${{timestamp}} ${{added}},uploaded $_count}} files $_timestamp}} $_added}},uploaded $_count_var_ files $_timestamp_var_ $_added_var_,上传$ _count_var_文件$ _timestamp_var_ $ _added_var_,上传$ _count}}文件$ _timestamp}} $ _added}},上传$ {{count}}文件$ {{timestamp}} $ {{added}},上传${{count}}文件${{timestamp}} ${{added}},"'activity.ticket.attachment_add':'上传${{count}}文件${{timestamp}} ${{added}}',",
zh,activity.ticket.attachment_remove,removed ${{count}} files ${{timestamp}} ${{removed}},removed $_count}} files $_timestamp}} $_removed}},removed $_count_var_ files $_timestamp_var_ $_removed_var_,删除$ _count_var_文件$ _timestamp_var_ $ _removed_var_,删除$ _count}}文件$ _timestamp}} $ _removed}},删除$ {{count}}文件$ {{timestamp}} $ {{removed}},删除${{count}}文件${{timestamp}} ${{removed}},"'activity.ticket.attachment_remove':'删除${{count}}文件${{timestamp}} ${{removed}}',",
zh,activity.ticket.categories,changed the category from ${{from}} $to ${{to}} ${{timestamp}},changed the category from $_from}} $to $_to}} $_timestamp}},changed the category from $_from_var_ $to $_to_var_ $_timestamp_var_,改变类别从$ _from_var_ $至$ _to_var_ $ _timestamp_var_,改变类别从$ _from}} $至$ _to}} $ _timestamp}},改变类别从$ {{from}} $至$ {{to}} $ {{timestamp}},改变类别从${{from}} $至${{to}} ${{timestamp}},"'activity.ticket.categories':'改变类别从${{from}} $至${{to}} ${{timestamp}}',",
zh,activity.ticket.cc_add,added ${{added}} $to CC ${{timestamp}},added $_added}} $to CC $_timestamp}},added $_added_var_ $to CC $_timestamp_var_,加$ _added_var_ $到CC $ _timestamp_var_,加$ _added}} $到CC $ _timestamp}},加$ {{added}} $到CC $ {{timestamp}},加${{added}} $到CC ${{timestamp}},"'activity.ticket.cc_add':'加${{added}} $到CC ${{timestamp}}',",
zh,activity.ticket.cc_remove,removed ${{removed}} $from CC ${{timestamp}},removed $_removed}} $from CC $_timestamp}},removed $_removed_var_ $from CC $_timestamp_var_,从CC $ _timestamp_var_删除$ _removed_var_ $,从CC $ _timestamp}}删除$ _removed}} $,从CC $ {{timestamp}}删除$ {{removed}} $,从CC ${{timestamp}}删除${{removed}} $,"'activity.ticket.cc_remove':'从CC ${{timestamp}}删除${{removed}} $',",
zh,activity.ticket.comment,commented ${{timestamp}} ${{comment}},commented $_timestamp}} $_comment}},commented $_timestamp_var_ $_comment_var_,评论$ _timestamp_var_ $ _comment_var_,评论$ _timestamp}} $ _comment}},评论$ {{timestamp}} $ {{comment}},评论${{timestamp}} ${{comment}},"'activity.ticket.comment':'评论${{timestamp}} ${{comment}}',",
zh,activity.ticket.create,created this ticket ${{timestamp}},created this ticket $_timestamp}},created this ticket $_timestamp_var_,创建此门票$ _timestamp_var_,创建此门票$ _timestamp}},创建此门票$ {{timestamp}},创建此门票${{timestamp}},"'activity.ticket.create':'创建此门票${{timestamp}}',",
