LOCALE,KEY,VALUE,CONTEXT
en,crud.create.button,Create,
en,admin.category.label.subcategory_label,Sub Category Label,
en,admin.address.add,Add Address,
en,admin.role.guest,Guest,
en,admin.address.city,City,
en,admin.location.status.closed,Closed,
en,admin.locationlevel.fmd,Facility Management District,
en,admin.amount,Amount,
en,admin.person.status.active,Active,
en,admin.category.label.description,Description,
en,admin.role.label.general,General,
en,admin.locationlevel.district,District,
en,crud.create.error,Error creating {{model}}.,
en,admin.location.one,Location,
en,crud.save.error,Error saving {{model}}.,
en,admin.company.one,Company,
en,crud.delete.confirm,Are you sure you want to delete {{model}} \'{{record}}\'?,Are you sure you want to delete Work Order 150306-448?
en,admin.locationlevel.label.general,General,
en,admin.location.label.number,Number,
en,admin.person.status.inactive,Inactive,
en,admin.contractor.other,Contractors,
en,admin.template.one,Template,
en,admin.locationlevel.other,Location Levels,
en,admin.person.label.last_name,Last Name,
en,admin.category.label.cost_currency,Cost Currency,
en,admin.category.labelCat.trade,Trade,
en,admin.address.state.select,Select a State,
en,admin.category.labelCat.issue,Issue,
en,admin.category.label.cost_code,Cost Code,
en,admin.category.one,Category,
en,admin.phonenumbertype.office,Office,
en,admin.person.label.auth_amount,Auth. Amount,
en,admin.categoryType.other,Category Types,
en,admin.general.other,General Settings,
en,admin.approval.other,Approvals,
en,crud.restore.button,Restore,
en,admin.phone.numbers,Phone Numbers,
en,admin.addresstype.shipping,Shipping,
en,admin.locationlevel.label.name,Name,
en,crud.restore.error,Error restoring {{model}},
en,validation.invalid,Invalid,
en,admin.address.address,Street Address,
en,admin.category.label.cost_amount,Cost Amount,
en,welcome,Hello,
en,admin.category.other,Categories,
en,modules.rfqs.titleShort,RFQs,
en,admin.assignment.other,Assignment Profiles,
en,admin.person.label.password,Password,
en,button.add,Add new {{model}},
en,admin.category.label.label,Label,
en,admin.role.label.location_level,Location Organization,
en,admin.setting.one,Setting,
en,admin.assignment.one,Assignment Profile,
en,admin.person.other,People,
en,validation.valid,Valid,
en,admin.person.label.contact,Contact,
en,admin.address.country.one,Country,
en,admin.location.label.location_level,Organization,
en,admin.person.label.role,Role,
en,admin.address.state.one,State,
en,modules.invoices.titleShort,Invoices,
en,admin.locationlevel.department,Department,
en,admin.locationlevel.one,Location Level,
en,admin.locationlevel.label.childOrg,Child Organization(s),
en,admin.role.label.role_type,Role Type,
en,admin.title,Admin,
en,crud.cancel.button,Cancel,
en,admin.person.label.first_name,First Name,
en,crud.titles.new,New {{model}},New Role
en,admin.notification.other,Notification Profiles,
en,admin.role.one,Role,
en,admin.address.country.other,Countries,
en,admin.category.label.general,General,
en,admin.person.label.status,Status,
en,crud.save.success,{{model}} saved successfully.,
en,modules.tasks.titleShort,Tasks,
en,admin.general.one,General Setting,
en,admin.location.label.general,General,
en,admin.contractorAssignment.one,Contractor Assignment,
en,crud.delete.button,Delete,
en,admin.location.status.future,Future,
en,admin.notification.one,Notification Profile,
en,admin.address.state.other,States,
en,admin.locationlevel.store,Store,
en,admin.locationlevel.region,Region,
en,admin.address_type.shipping,Shipping,
en,admin.person.label.phone_number.one,Phone Number,
en,admin.contractorAssignment.other,Contractor Assignments,
en,admin.locationlevel.fmu,Facility Management Region,
en,admin.category.name.repair,Repair,
en,admin.category.name.maintenance,Maintenance,
en,admin.setting.other,Settings,
en,admin.role.label.name,Role Name,
en,crud.create.success,{{model}} created successfully.,Person created successfully.
en,admin.category.status.active,Active,
en,admin.location.label.name,Name,
en,admin.address.postal_code,Zip,
en,modules.workOrders.titleShort,Work Orders,
en,admin.approval.one,Approval,
en,crud.titles.edit,Edit {{model}},Edit Role
en,admin.location.status.open,Open,
en,admin.person.label.email,Email,
en,admin.address_type.office,Office,
en,admin.category.name.loss_prevention,Loss Prevention,
en,modules.projects.titleShort,Projects,
en,admin.address.label,Type,
en,admin.phone.number,Phone Number,
en,admin.role.system_administrator,Administrator,
en,admin.person.label.title,Title,
en,admin.categoryType.one,Category Type,
en,admin.person.label.name,Name,
en,admin.contractor.one,Contractor,
en,admin.addresstype.office,Office,
en,admin.role.label.category,Category,
en,admin.phonenumbertype.mobile,Cell,
en,modules.purchaseOrders.titleShort,Purchase Orders,
en,admin.location.label.status,Status,
en,admin.person.label.middle_initial,Middle,
en,admin.person.label.general,General,
en,admin.person.label.phone_number.other,Phone Numbers,
en,admin.template.other,Templates,
en,admin.person.label.address,Address,
en,admin.person.one,Person,
en,admin.role.label.number_users,# of People,
en,modules.tickets.titleShort,Tickets,
en,crud.delete.error,Error deleting {{model}}.,
en,admin.person.label.change_password,Change,
en,admin.locationlevel.company,Company,
en,modules.pms.titleShort,PM,
en,admin.company.other,Companies,
en,menu.home,Home,
en,admin.location.other,Locations,
en,admin.person.status.expired,Expired,
en,admin.phone.add,Add Phone Number,
en,admin.person.label.username,Username,
en,crud.restore.success,{{model}} restored successfully.,Work Order restored successfully.
en,admin.person.label.employee_id,Employee No.,
en,crud.save.button,Save,
en,admin.person.label.credentials,Credentials,
en,admin.person.search,Search People,
en,admin.category.label.name,Name,
en,admin.category.labelCat.type,Type,
en,modules.assets.titleShort,Assets,
en,admin.address.country.select,Select a Country,
en,admin.role.other,Roles,
