LOCALE,KEY,VALUE,CONTEXT
en,welcome,Hello,
en,menu.home,Home,
en,button.add,Add new {{model}},
en,modules.tickets.titleShort,Tickets,
en,modules.workOrders.titleShort,Work Orders,
en,modules.purchaseOrders.titleShort,Purchase Orders,
en,modules.tasks.titleShort,Tasks,
en,modules.projects.titleShort,Projects,
en,modules.rfqs.titleShort,RFQs,
en,modules.pms.titleShort,PM,
en,modules.assets.titleShort,Assets,
en,modules.invoices.titleShort,Invoices,
en,crud.titles.new,New {{model}},New Role
en,crud.titles.edit,Edit {{model}},Edit Role
en,crud.create.button,Create,
en,crud.create.success,{{model}} created successfully.,Person created successfully.
en,crud.create.error,Error creating {{model}}.,
en,crud.save.button,Save,
en,crud.save.success,{{model}} saved successfully.,
en,crud.save.error,Error saving {{model}}.,
en,crud.delete.button,Delete,
en,crud.delete.confirm,Are you sure you want to delete {{model}} \'{{record}}\'?,Are you sure you want to delete Work Order 150306-448?
en,crud.delete.error,Error deleting {{model}}.,
en,crud.restore.button,Restore,
en,crud.restore.success,{{model}} restored successfully.,Work Order restored successfully.
en,crud.restore.error,Error restoring {{model}},
en,crud.cancel.button,Cancel,
en,admin.title,Admin,
en,admin.amount,Amount,
en,admin.general.one,General Setting,
en,admin.general.other,General Settings,
en,admin.setting.one,Setting,
en,admin.setting.other,Settings,
en,admin.notification.one,Notification Profile,
en,admin.notification.other,Notification Profiles,
en,admin.assignment.one,Assignment Profile,
en,admin.assignment.other,Assignment Profiles,
en,admin.approval.one,Approval,
en,admin.approval.other,Approvals,
en,admin.template.one,Template,
en,admin.template.other,Templates,
en,admin.role.one,Role,
en,admin.role.other,Roles,
en,admin.role.label.name,Role Name,
en,admin.role.label.role_type,Role Type,
en,admin.role.label.location_level,Location Organization,
en,admin.role.label.category,Category,
en,admin.role.label.number_users,# of People,
en,admin.role.label.general,General,
en,admin.role.system_administrator,Administrator,
en,admin.role.guest,Guest,
en,admin.address_type.office,Office,
en,admin.address_type.shipping,Shipping,
en,admin.person.one,Person,
en,admin.person.other,People,
en,admin.person.search,Search People,
en,admin.person.label.name,Name,
en,admin.person.label.username,Username,
en,admin.person.label.password,Password,
en,admin.person.label.change_password,Change,
en,admin.person.label.title,Title,
en,admin.person.label.employee_id,Employee No.,
en,admin.person.label.role,Role,
en,admin.person.label.auth_amount,Auth. Amount,
en,admin.person.label.first_name,First Name,
en,admin.person.label.middle_initial,Middle,
en,admin.person.label.last_name,Last Name,
en,admin.person.label.status,Status,
en,admin.person.label.phone_number.one,Phone Number,
en,admin.person.label.phone_number.other,Phone Numbers,
en,admin.person.label.address,Address,
en,admin.person.label.email,Email,
en,admin.person.label.general,General,
en,admin.person.label.credentials,Credentials,
