LOCALE,KEY,VALUE,CONTEXT
es,admin.contractorAssignment.other,Asignaciones de contratista,
es,admin.person.status.expired,Expirado,
es,admin.address_type.office,Oficina,
es,crud.titles.edit,Editar {{model}},Edit Role
es,crud.titles.new,model nuevo}},New Role
es,admin.contractor.other,Contratistas,
es,crud.save.error,Ahorro Error {{model}}.,
es,admin.role.label.category,Categoría,
es,admin.location.status.closed,Cerrado,
es,admin.locationlevel.other,Ubicación Niveles,
es,admin.person.label.address,Dirección,
es,admin.locationlevel.label.name,Nombre,
es,admin.assignment.other,Perfiles de asignación,
es,admin.template.one,model,
es,admin.category.labelCat.issue,Asunto,
es,modules.tasks.titleShort,Tareas,
es,admin.phone.numbers,Números de teléfono,
es,admin.locationlevel.region,Comarca,
es,admin.role.label.role_type,Tipo de Papel,
es,crud.save.button,Guardar,
es,crud.delete.error,Error borrado {{model}}.,
es,admin.person.label.contact,Contacto,
es,admin.person.label.general,General,
es,admin.person.label.change_password,Cambiar,
es,admin.location.label.general,General,
es,admin.person.label.username,Nombre de usuario,
es,admin.location.label.location_level,Organismo,
es,admin.categoryType.one,Categoría Tipo,
es,modules.purchaseOrders.titleShort,Ordenes de compra,
es,admin.person.label.title,Título,
es,admin.category.name.repair,Reparación,
es,admin.location.label.status,Estado,
es,admin.notification.one,Notificación Perfil,
es,admin.category.label.cost_code,Código de costo,
es,admin.category.one,Categoría,
es,admin.address.state.select,Seleccione un Estado,
es,admin.addresstype.office,Oficina,
es,admin.locationlevel.company,Compañía,
es,crud.create.button,Crear,
es,crud.restore.button,Restaurar,
es,modules.invoices.titleShort,Facturas,
es,admin.template.other,Plantillas,
es,admin.approval.one,Aprobación,
es,admin.title,Admin,
es,admin.location.status.future,Futuro,
es,admin.role.label.name,Nombre de rol,
es,admin.person.status.inactive,Inactivo,
es,admin.contractorAssignment.one,Asignación Contratista,
es,admin.address.label,Escribe,
es,admin.person.label.first_name,Nombre de pila,
es,admin.person.search,Buscador de personas,
es,admin.locationlevel.fmd,Facilidad Distrito de Administración,
es,crud.save.success,{{model}} guardado correctamente.,
es,admin.address.country.other,Países,
es,admin.person.label.phone_number.other,Números de teléfono,
es,admin.setting.other,Ajustes,
es,admin.role.label.general,General,
es,validation.valid,Vigente,
es,admin.locationlevel.fmu,Fondo región de gestión,
es,admin.phonenumbertype.mobile,Celda,
es,modules.workOrders.titleShort,Órdenes de trabajo,
es,admin.general.other,Configuración general,
es,admin.locationlevel.store,Almacén,
es,modules.pms.titleShort,Primer ministro,
es,admin.category.name.loss_prevention,Prevención de Pérdidas,
es,admin.address.city,Ciudad,
es,admin.approval.other,Homologaciones,
es,admin.locationlevel.one,Ubicación Nivel,
es,admin.category.other,Categorías,
es,admin.person.label.credentials,Credenciales,
es,admin.address.country.one,País,
es,admin.locationlevel.label.childOrg,Organización Niño (s),
es,admin.role.label.location_level,Ubicación Organización,
es,admin.address.postal_code,Zip,
es,admin.locationlevel.label.general,General,
es,modules.rfqs.titleShort,RFQ,
es,admin.company.other,Empresas,
es,admin.person.label.employee_id,Empleado No.,
es,admin.location.label.number,Número,
es,crud.delete.button,Borrar,
es,admin.locationlevel.district,Distrito,
es,admin.person.label.role,Rol,
es,admin.contractor.one,Contratista,
es,modules.tickets.titleShort,Entradas,
es,admin.location.status.open,Abierto,
es,admin.address.state.other,Unidos,
es,admin.address.country.select,Seleccione un país,
es,crud.restore.success,{{model}} restaurado con éxito.,Work Order restored successfully.
es,admin.address.address,Dirección,
es,admin.person.label.email,Email,
es,admin.address.add,Añadir la dirección,
es,admin.phonenumbertype.office,Oficina,
es,admin.category.name.maintenance,Mantenimiento,
es,admin.addresstype.shipping,Envío,
es,admin.categoryType.other,Categoría Tipos,
es,admin.category.label.label,Label,
es,validation.invalid,No válido,
es,crud.create.error,Error al crear el model {{model}}.,
es,admin.phone.number,Número de teléfono,
es,admin.address.state.one,Estado,
es,admin.role.one,Rol,
es,admin.person.other,Gente,
es,crud.restore.error,Error restaurando {{model}},
es,admin.person.status.active,Vivo,
es,admin.company.one,Compañía,
es,admin.person.label.auth_amount,Aut. Cantidad,
es,admin.assignment.one,Asignación Perfil,
es,admin.person.label.password,Contraseña,
es,admin.category.labelCat.trade,Comercio,
es,button.add,Añadir nuevo model {{}},
es,admin.location.one,Localización,
es,admin.person.label.last_name,Apellido,
es,admin.role.system_administrator,Administrador,
es,admin.person.label.middle_initial,Mitad,
es,admin.location.other,Ubicaciones,
es,crud.create.success,{{model}} ha creado correctamente.,Person created successfully.
es,menu.home,Casa,
es,admin.category.label.general,General,
es,admin.person.label.status,Estado,
es,crud.delete.confirm,¿Seguro que quieres eliminar {{model}} \ '{{record}} \'?,Are you sure you want to delete Work Order 150306-448?
es,admin.notification.other,Perfiles de notificación,
es,admin.category.label.description,Descripción,
es,admin.category.label.subcategory_label,Sub Categoría Label,
es,modules.projects.titleShort,Proyectos,
es,admin.category.label.name,Nombre,
es,admin.role.label.number_users,# de la gente,
es,admin.person.one,Persona,
es,admin.category.labelCat.type,Escribe,
es,welcome,Hola,
es,admin.location.label.name,Nombre,
es,admin.category.status.active,Vivo,
es,crud.cancel.button,Cancelar,
es,admin.address_type.shipping,Envío,
es,admin.person.label.phone_number.one,Número de teléfono,
es,modules.assets.titleShort,Activos,
es,admin.setting.one,Ajuste,
es,admin.role.guest,Huésped,
es,admin.locationlevel.department,Departamento,
es,admin.amount,Cantidad,
es,admin.general.one,Ajustes generales,
es,admin.person.label.name,Nombre,
es,admin.phone.add,Agregar el número de teléfono,
es,admin.role.other,Roles,
es,admin.category.label.cost_currency,Costo moneda,
es,admin.category.label.cost_amount,Costo Monto,
