LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
fr,activity.empty.comments,No Comments,No Comments,No Comments,Sans commentaires,Sans commentaires,Sans commentaires,Sans commentaires,"'activity.empty.comments':'Sans commentaires',",
fr,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,Non État Mises à jour,Non État Mises à jour,Non État Mises à jour,Non État Mises à jour,"'activity.empty.status_updates':'Non État Mises à jour',",
fr,activity.tabs.all_updates,All Updates,All Updates,All Updates,Toutes les mises à jour,Toutes les mises à jour,Toutes les mises à jour,Toutes les mises à jour,"'activity.tabs.all_updates':'Toutes les mises à jour',",
fr,activity.tabs.comments,Comments,Comments,Comments,commentaires,commentaires,commentaires,commentaires,"'activity.tabs.comments':'commentaires',",
fr,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,Mises à jour de statut,Mises à jour de statut,Mises à jour de statut,Mises à jour de statut,"'activity.tabs.status_updates':'Mises à jour de statut',",
fr,activity.ticket.assignee,changed the {{type}} from ${{from}} $to ${{to}} ${{timestamp}},changed the _type}} from $_from}} $to $_to}} $_timestamp}},changed the _type_var_ from $_from_var_ $to $_to_var_ $_timestamp_var_,changé le _type_var_ à partir de $ _from_var_ $ à _to_var_ $ _timestamp_var_,changé le _type}} à partir de $ _from}} $ à _to}} $ _timestamp}},changé le {{type}} à partir de $ {{from}} $ à {{to}} $ {{timestamp}},changé le {{type}} à partir de ${{from}} $à {{to}} ${{timestamp}},"'activity.ticket.assignee':'changé le {{type}} à partir de ${{from}} $à {{to}} ${{timestamp}}',",
fr,activity.ticket.attachment_add,uploaded ${{count}} files ${{timestamp}} ${{added}},uploaded $_count}} files $_timestamp}} $_added}},uploaded $_count_var_ files $_timestamp_var_ $_added_var_,téléchargé _count_var_ $ fichiers $ _timestamp_var_ $ _added_var_,téléchargé _count}} $ fichiers $ _timestamp}} $ _added}},téléchargé {{count}} $ fichiers $ {{timestamp}} $ {{added}},téléchargé {{count}} $fichiers ${{timestamp}} ${{added}},"'activity.ticket.attachment_add':'téléchargé {{count}} $fichiers ${{timestamp}} ${{added}}',",
fr,activity.ticket.attachment_remove,removed ${{count}} files ${{timestamp}} ${{removed}},removed $_count}} files $_timestamp}} $_removed}},removed $_count_var_ files $_timestamp_var_ $_removed_var_,enlevées _count_var_ $ fichiers $ _timestamp_var_ $ _removed_var_,enlevées _count}} $ fichiers $ _timestamp}} $ _removed}},enlevées {{count}} $ fichiers $ {{timestamp}} $ {{removed}},enlevées {{count}} $fichiers ${{timestamp}} ${{removed}},"'activity.ticket.attachment_remove':'enlevées {{count}} $fichiers ${{timestamp}} ${{removed}}',",
fr,activity.ticket.categories,changed the category from ${{from}} $to ${{to}} ${{timestamp}},changed the category from $_from}} $to $_to}} $_timestamp}},changed the category from $_from_var_ $to $_to_var_ $_timestamp_var_,changé la catégorie à partir de $ _from_var_ $ à _to_var_ $ _timestamp_var_,changé la catégorie à partir de $ _from}} $ à _to}} $ _timestamp}},changé la catégorie à partir de $ {{from}} $ à {{to}} $ {{timestamp}},changé la catégorie à partir de ${{from}} $à {{to}} ${{timestamp}},"'activity.ticket.categories':'changé la catégorie à partir de ${{from}} $à {{to}} ${{timestamp}}',",
fr,activity.ticket.cc_add,added ${{added}} $to CC ${{timestamp}},added $_added}} $to CC $_timestamp}},added $_added_var_ $to CC $_timestamp_var_,ajouté _added_var_ $ $ $ à CC _timestamp_var_,ajouté _added}} $ $ $ à CC _timestamp}},ajouté {{added}} $ $ $ à CC {{timestamp}},ajouté {{added}} $$$à CC {{timestamp}},"'activity.ticket.cc_add':'ajouté {{added}} $$$à CC {{timestamp}}',",
