LOCALE,KEY,VALUE,CONTEXT,JSON,VALUE-UNDERSCORE
zh,activity.tabs.all_updates,所有更新,,"'activity.tabs.all_updates':'所有更新',",
zh,activity.tabs.comments,評論,,"'activity.tabs.comments':'評論',",
zh,activity.tabs.status_updates,狀態更新,,"'activity.tabs.status_updates':'狀態更新',",
zh,activity.ticket.assignee,改變了{{type}}從${{from}} $至${{to}} ${{timestamp}},,"'activity.ticket.assignee':'改變了{{type}}從${{from}} $至${{to}} ${{timestamp}}',",
zh,activity.ticket.attachment_add,上傳${{count}}文件${{timestamp}} ${{added}},,"'activity.ticket.attachment_add':'上傳${{count}}文件${{timestamp}} ${{added}}',",
zh,activity.ticket.attachment_remove,刪除${{count}}文件${{timestamp}} ${{removed}},,"'activity.ticket.attachment_remove':'刪除${{count}}文件${{timestamp}} ${{removed}}',",
zh,activity.ticket.categories,改變類別從${{from}} $至${{to}} ${{timestamp}},,"'activity.ticket.categories':'改變類別從${{from}} $至${{to}} ${{timestamp}}',",
zh,activity.ticket.cc_add,加${{added}} $到CC ${{timestamp}},,"'activity.ticket.cc_add':'加${{added}} $到CC ${{timestamp}}',",
zh,activity.ticket.cc_remove,從CC ${{timestamp}}刪除${{removed}} $,,"'activity.ticket.cc_remove':'從CC ${{timestamp}}刪除${{removed}} $',",
zh,activity.ticket.comment,評論${{timestamp}} ${{comment}},,"'activity.ticket.comment':'評論${{timestamp}} ${{comment}}',",
zh,activity.ticket.create,創建此門票${{timestamp}},,"'activity.ticket.create':'創建此門票${{timestamp}}',",
zh,activity.ticket.to_from,改變了{{type}}從${{from}} $至${{to}} ${{timestamp}},,"'activity.ticket.to_from':'改變了{{type}}從${{from}} $至${{to}} ${{timestamp}}',",
zh,admin.address_type.office,辦公室,,"'admin.address_type.office':'辦公室',",
zh,admin.address_type.shipping,送貨,,"'admin.address_type.shipping':'送貨',",
zh,admin.address.add,添加地址,,"'admin.address.add':'添加地址',",
zh,admin.address.address,街道地址,,"'admin.address.address':'街道地址',",
zh,admin.address.city,市,,"'admin.address.city':'市',",
zh,admin.address.country.one,國家,,"'admin.address.country.one':'國家',",
